There are in total 182 existing graphs.
1_1:                   985        524#        176*
2_1:                    39         19#         21*
2_2:                   294        144#         22*
2_3:                    47         33#         58*
3_1:                     3          3#          8*
3_2:                    26          2#          3*
3_3:                     1          1#          1*
3_4:                    82         48#          6*
3_5:                    52          6#          6*
3_6:                    14         10#         37*
3_7:                     0          0#          9*
3_8:                    11         23#          3*
4_1:                     2          0#          0*
4_2:                     4          0#          0*
4_4:                     0          5#          0*
4_5:                     1          0#          0*
4_7:                     0          2#          0*
4_8:                     6          0#          2*
4_9:                     5          0#          0*
4_10:                    1          0#          0*
4_12:                    7          0#          2*
4_14:                   30          5#          1*
4_15:                    0          1#          0*
4_16:                   31         11#          1*
4_17:                    0          1#          0*
4_19:                  258          2#          1*
4_20:                    1          0#          0*
4_21:                    1          0#          2*
4_22:                    3          0#          0*
4_23:                    0          0#          1*
4_25:                    9         13#          6*
4_26:                    0          0#          1*
4_27:                   30          0#          0*
4_29:                    2          2#          0*
5_2:                    35          0#          1*
5_4:                     1          0#          0*
5_12:                    0          2#          0*
5_13:                    1          0#          0*
5_16:                    0          2#          0*
5_18:                    0          0#          1*
5_20:                    2          0#          0*
5_21:                    4          2#          4*
5_27:                    1          0#          0*
5_32:                   24          0#          0*
5_35:                    1          0#          0*
5_39:                    0          0#          2*
5_43:                    0         24#          2*
5_45:                    1          0#          0*
5_46:                    1          0#          1*
5_48:                    1          0#          0*
5_50:                    4          0#          0*
5_52:                    2          0#          1*
5_62:                   17          2#          0*
5_64:                    2          0#          0*
5_67:                    1          0#          0*
5_68:                    2          0#          0*
5_76:                    0          2#          0*
5_77:                    0          2#          0*
5_79:                    2          0#          0*
5_94:                    2          0#          0*
5_96:                   19          3#          0*
5_97:                    0          4#          0*
5_101:                   6          0#          0*
6_4:                     1          0#          0*
6_31:                    1          0#          0*
6_36:                    3          3#          0*
6_57:                    3          0#          0*
6_71:                    0          0#          3*
6_78:                    0          2#          0*
6_91:                    5          0#          0*
6_101:                   1          0#          0*
6_109:                   1          0#          0*
6_120:                   0          1#          0*
6_123:                   0          1#          0*
6_138:                   0          2#          0*
6_142:                   1          0#          0*
6_155:                   0          0#          1*
6_163:                   2          0#          0*
6_166:                   0          1#          0*
6_210:                   0          0#          1*
6_226:                   2          0#          0*
6_232:                   0          1#          0*
6_236:                   5          0#          0*
6_245:                   1          0#          0*
6_246:                   1          0#          0*
6_253:                   0          0#          1*
6_257:                   2          0#          0*
6_263:                 152          0#          0*
6_281:                   1          2#          0*
6_293:                   0          1#          0*
6_302:                   1          0#          0*
6_309:                   0          1#          0*
6_311:                   1          0#          0*
6_372:                   7          0#          0*
6_396:                   0          1#          0*
6_418:                   1          0#          3*
6_460:                   7          0#          0*
6_463:                   2          0#          0*
6_493:                   0          0#          1*
6_496:                   0          0#          1*
7_31:                    0          0#          1*
7_52:                    2          0#          0*
7_58:                    1          0#          0*
7_119:                   1          0#          0*
7_126:                   0          1#          0*
7_139:                   0          1#          0*
7_189:                   0          0#          2*
7_222:                   1          0#          0*
7_242:                   0          0#          1*
7_364:                   0          0#          1*
7_373:                   0          1#          0*
7_718:                   2          1#          0*
7_729:                   2          0#          0*
7_914:                   1          0#          0*
7_979:                   2          0#          0*
7_1119:                 10          0#          0*
7_1141:                  1          0#          0*
7_1155:                  0          0#          2*
7_1219:                  1          0#          0*
7_1311:                 68          0#          0*
7_1329:                  2          0#          0*
7_1341:                  4          0#          0*
7_1388:                  0          1#          0*
7_1693:                  2          0#          0*
7_1714:                  5          0#          0*
7_1771:                  1          0#          0*
7_1812:                  0          0#          2*
7_1928:                  4          0#          0*
7_2019:                  4          0#          0*
7_2245:                  1          0#          0*
7_2314:                  0          1#          2*
7_2329:                  2          0#          0*
7_2393:                  0          0#          1*
7_2396:                  0          0#          1*
8_414:                   1          0#          0*
8_2314:                  0          5#          0*
8_2499:                  0          1#          0*
8_2642:                  0          1#          0*
8_2817:                  3          0#          0*
8_3161:                  1          0#          0*
8_3248:                  0          2#          0*
8_4102:                  0          0#          1*
8_4305:                  0          1#          0*
8_4787:                  0          1#          0*
8_5390:                  0          1#          0*
8_5474:                  0          2#          0*
8_5491:                  3          0#          0*
8_5518:                  1          0#          0*
8_7722:                  0          1#          0*
8_7748:                  4          0#          0*
8_7791:                  1          0#          0*
8_8010:                  1          0#          0*
8_11622:                 0          1#          0*
8_12322:                 1          0#          0*
9_1477:                  0          1#          0*
9_3761:                  1          0#          0*
9_3854:                  1          0#          0*
9_8338:                  0          2#          0*
9_11105:                 0          1#          0*
9_16347:                 2          0#          0*
9_18405:                 1          0#          0*
9_18869:                 0          1#          0*
9_19203:                 1          0#          0*
9_20559:                 1          0#          0*
9_20589:                 1          0#          0*
9_21508:                 4          0#          0*
9_23630:                 0          3#          0*
9_24796:                 2          0#          0*
9_27699:                 1          0#          0*
9_35189:                 1          0#          0*
9_35458:                 0          0#          1*
9_38596:                 1          0#          1*
9_38597:                 1          2#          0*
9_38599:                 0          1#          0*
9_38601:                 1          0#          0*
9_45828:                 0          1#          0*
9_51712:                 0          2#          0*
9_52640:                 0          1#          0*
9_64993:                 2          0#          0*
9_68582:                 0          1#          0*
9_68604:                 0          1#          0*
9_87224:                 1          0#          0*
