There are in total 1844 existing graphs.
2_1:                   419        154#         73*
2_2:                  1258        462#        112*
2_3:                    56         39#         60*
3_1:                   280         53#         34*
3_2:                   336         60#         35*
3_3:                    10          6#          2*
3_4:                   818        262#         66*
3_5:                   763        216#         57*
3_6:                    20         20#         40*
3_7:                     6          3#          9*
3_8:                    13         23#          3*
4_1:                   238         38#         18*
4_2:                   249         45#         19*
4_3:                     4          2#          0*
4_4:                   234         38#         20*
4_5:                     1          2#          0*
4_6:                     0          2#          0*
4_7:                     0          2#          0*
4_8:                   268         40#         27*
4_9:                   240         39#         23*
4_10:                   38         36#          3*
4_12:                    7          7#          3*
4_13:                    2          0#          0*
4_14:                  431        187#         53*
4_15:                    0          1#          0*
4_16:                  711        205#         51*
4_17:                    0          6#          1*
4_18:                    0          1#          0*
4_19:                  553        190#         51*
4_20:                    1          0#          3*
4_21:                   79        128#         22*
4_22:                    6          0#          1*
4_23:                   70        133#         22*
4_25:                    8         22#          7*
4_26:                    0          3#          1*
4_27:                  248         82#         42*
4_29:                    2          2#          0*
5_1:                    15         30#          2*
5_2:                   297        159#         25*
5_3:                    21         13#          2*
5_4:                    16         22#          3*
5_5:                     5          0#          0*
5_6:                    17         27#          2*
5_7:                     6          9#          1*
5_9:                   318        170#         42*
5_10:                   14          8#          3*
5_11:                    2          0#          1*
5_12:                    0          2#          0*
5_13:                    5          6#          0*
5_16:                    0          4#          0*
5_18:                  173         25#         14*
5_19:                  222         36#         18*
5_20:                   26         29#          2*
5_21:                  342        186#         49*
5_22:                    1          0#          0*
5_23:                    1          2#          1*
5_24:                    0          0#          1*
5_25:                    2          0#          0*
5_27:                  214         28#         18*
5_28:                    0          5#          1*
5_29:                  200         26#         15*
5_32:                  616        179#         49*
5_35:                    1          0#          0*
5_36:                   70        133#         21*
5_38:                    1          0#          0*
5_39:                    0          0#          3*
5_42:                    0          0#          1*
5_43:                    0         36#          2*
5_45:                    1          8#          0*
5_46:                    9          7#          1*
5_48:                  229         38#         19*
5_49:                   12          2#          0*
5_50:                  231         29#         20*
5_52:                    2          0#          1*
5_61:                  217         33#         19*
5_62:                  631        175#         49*
5_63:                    5          0#          0*
5_64:                    4          1#          0*
5_67:                    1          0#          0*
5_68:                    2          0#          0*
5_71:                    0          0#          1*
5_72:                    0          1#          0*
5_73:                    0          2#          0*
5_75:                    0          1#          0*
5_76:                    0          3#          0*
5_77:                    0          2#          0*
5_78:                  241         36#         25*
5_79:                    2          0#          0*
5_90:                    0          1#          0*
5_91:                    0          3#          0*
5_92:                    0          1#          0*
5_94:                    2          0#          0*
5_96:                  329        172#         50*
5_97:                    0          4#          0*
5_101:                  77        127#         20*
5_107:                  29         35#          0*
6_1:                     8         10#          0*
6_2:                    15         21#         10*
6_3:                     9         12#          0*
6_4:                     8         10#          0*
6_5:                     0          0#          1*
6_6:                    14          9#          0*
6_7:                     2          0#          0*
6_8:                    10         13#          0*
6_9:                     3          6#          0*
6_10:                    2          8#          0*
6_12:                    5          5#          1*
6_13:                    5          5#          0*
6_14:                    1          1#          0*
6_15:                   10          9#          0*
6_16:                  250         61#         37*
6_18:                    2          0#          0*
6_20:                    5          0#          0*
6_25:                    0          0#          2*
6_27:                    0          2#          0*
6_28:                    6          0#          0*
6_30:                    5          8#          1*
6_31:                    2          0#          0*
6_36:                    3          5#          0*
6_39:                    6         25#          2*
6_40:                   11          6#          1*
6_41:                    4          5#          0*
6_42:                    7          5#          2*
6_43:                    6         24#          2*
6_44:                  265        159#         23*
6_48:                    7          4#          2*
6_51:                    8          8#          0*
6_56:                    0          5#          0*
6_57:                  315        170#         42*
6_59:                   13          8#          0*
6_61:                    1          0#          0*
6_63:                    5          0#          0*
6_67:                    5         24#          2*
6_68:                    0          0#          1*
6_70:                  184         20#          9*
6_71:                  173         24#         13*
6_72:                  173         24#          9*
6_74:                    3          2#          1*
6_75:                    1          0#          0*
6_78:                  195         24#         12*
6_79:                    3          2#          0*
6_91:                  240        121#         37*
6_92:                    5          1#          0*
6_93:                    1          0#          0*
6_101:                   2          0#          0*
6_107:                   0          1#          0*
6_108:                   1          0#          0*
6_109:                 200         56#         21*
6_117:                  64        122#         17*
6_120:                   0          2#          0*
6_121:                 208         21#         17*
6_123:                  14          6#          4*
6_125:                   2          0#          0*
6_126:                   0          0#          1*
6_127:                   1          0#          0*
6_132:                   0          0#          1*
6_134:                   0          1#          0*
6_138:                 221         66#         33*
6_142:                   9         12#          1*
6_143:                   3          5#          0*
6_149:                   8          7#          1*
6_155:                   0          0#          1*
6_162:                 187         20#         13*
6_163:                 205         61#         32*
6_166:                   0          8#          0*
6_168:                   1          0#          0*
6_172:                 209         27#         18*
6_190:                   1          0#          1*
6_192:                   8          7#          0*
6_198:                  30          7#          8*
6_210:                   0          0#          1*
6_216:                   0          0#          2*
6_226:                  11          0#          0*
6_232:                   0          4#          0*
6_236:                   5          0#          0*
6_238:                 213         33#         18*
6_239:                  19         25#          2*
6_245:                 320        174#         43*
6_246:                   1          0#          0*
6_247:                  58         65#         10*
6_248:                   2          1#          0*
6_251:                   1          0#          0*
6_252:                   0          1#          0*
6_253:                  40         50#          2*
6_257:                 210         26#         17*
6_263:                 549        155#         41*
6_267:                   1          0#          0*
6_271:                  13          0#          6*
6_273:                  32          2#          8*
6_281:                   1          2#          0*
6_293:                   0          1#          0*
6_299:                   0          1#          0*
6_309:                   0          1#          0*
6_311:                 218         34#         19*
6_314:                 223         26#         20*
6_315:                   0          1#          0*
6_331:                   1          0#          0*
6_356:                   0          1#          0*
6_359:                   0          1#          0*
6_369:                   5          0#          0*
6_371:                 212         26#         19*
6_372:                 153        129#         30*
6_383:                   0          1#          0*
6_388:                   0          1#          0*
6_396:                   0          1#          0*
6_402:                   0          0#          2*
6_410:                   0          1#          0*
6_415:                   0          1#          0*
6_418:                 220         30#         25*
6_420:                   0          3#          0*
6_422:                   0          1#          0*
6_437:                   0          1#          0*
6_460:                 129        112#         30*
6_463:                  65        124#         18*
6_472:                   0          1#          0*
6_493:                   0          0#          1*
6_496:                   0          0#          1*
7_1:                     8          5#          0*
7_2:                     7          7#          0*
7_6:                     8          5#          0*
7_7:                     2          5#          0*
7_9:                     3          5#          0*
7_11:                   10          5#          0*
7_12:                    1          4#          0*
7_13:                    1          4#          0*
7_15:                    1          0#          0*
7_16:                    1          0#          0*
7_17:                    6          9#          0*
7_18:                  175         45#         16*
7_19:                    0          2#          0*
7_21:                    1          2#          0*
7_25:                    1          0#          0*
7_27:                    1          0#          0*
7_30:                   10          5#          0*
7_31:                    0          0#          1*
7_34:                    4          4#          1*
7_36:                    1          0#          0*
7_37:                    1          0#          0*
7_40:                    1          1#          0*
7_52:                  206         30#         18*
7_54:                    1          1#          0*
7_58:                    2          0#          0*
7_62:                    3          4#          0*
7_63:                    4          0#          0*
7_65:                    1          0#          0*
7_67:                    4          8#          0*
7_69:                    2          8#          0*
7_71:                    4          6#          0*
7_72:                    2          4#          0*
7_74:                    1          1#          0*
7_75:                   10          0#          0*
7_80:                    5          7#          0*
7_81:                    6          9#          0*
7_82:                   14         21#         10*
7_84:                    1          1#          0*
7_88:                    0          2#          0*
7_89:                    1          5#          0*
7_91:                   11         13#          3*
7_99:                    6          5#          0*
7_104:                   2          2#          0*
7_106:                   1          3#          0*
7_107:                   5          8#          0*
7_118:                   1          3#          0*
7_119:                 117        136#         21*
7_124:                   0          1#          0*
7_126:                   1          1#          0*
7_128:                  11          5#          0*
7_131:                   5          7#          0*
7_132:                 216         46#         33*
7_137:                   1          1#          1*
7_138:                   1          9#          0*
7_139:                   0          1#          0*
7_143:                   4          1#          0*
7_144:                   1          0#          0*
7_145:                   1          4#          0*
7_156:                   0          5#          0*
7_163:                   1         18#          1*
7_168:                   2          0#          0*
7_169:                   2          0#          0*
7_170:                   5          0#          0*
7_183:                   5          4#          1*
7_189:                   0          0#          2*
7_192:                   3          1#          0*
7_193:                 173         24#          9*
7_194:                   0          1#          0*
7_206:                   2          0#          0*
7_216:                   3          1#          0*
7_222:                 284        167#         35*
7_229:                   0          1#          0*
7_230:                 142        121#         32*
7_242:                   8          0#          5*
7_247:                   1          0#          0*
7_262:                   1          2#          0*
7_263:                   1          0#          0*
7_273:                   0          1#          0*
7_279:                   2          1#          0*
7_289:                  10          7#          0*
7_290:                 233         54#         34*
7_296:                   5          0#          0*
7_307:                   4          0#          0*
7_311:                 170         18#          8*
7_323:                   4          0#          0*
7_330:                   3          2#          1*
7_331:                   1          0#          0*
7_339:                   1          0#          0*
7_346:                   2         19#          2*
7_347:                 184         18#          9*
7_348:                   8          0#          4*
7_356:                 159         48#         14*
7_359:                  12          0#          2*
7_364:                   0          0#          1*
7_373:                  13          4#          3*
7_381:                   0          1#          0*
7_415:                   3          1#          0*
7_423:                   2          0#          0*
7_428:                   5          6#          0*
7_429:                   0          6#          0*
7_430:                   0          4#          0*
7_435:                   2          2#          0*
7_457:                   1          1#          0*
7_476:                   3          4#          0*
7_478:                   7          8#          0*
7_481:                 173         24#          9*
7_498:                   0          2#          0*
7_509:                   5          0#          0*
7_513:                   2          0#          0*
7_515:                   4          7#          1*
7_516:                   1          0#          0*
7_530:                   2          0#          0*
7_560:                   3          2#          1*
7_578:                 194         20#         12*
7_581:                 183         19#          9*
7_583:                   2          1#          0*
7_608:                   3          8#          1*
7_621:                   1          0#          0*
7_627:                   1          2#          0*
7_628:                  44          9#          9*
7_631:                   1          0#          0*
7_632:                   1         27#          9*
7_641:                   0          0#          1*
7_644:                   2          1#          0*
7_663:                 183         19#         10*
7_668:                   0          1#          0*
7_712:                   0          0#          1*
7_717:                   2          2#          2*
7_718:                 200         61#         31*
7_729:                   2          0#          0*
7_730:                   0          5#          0*
7_743:                   1          0#          0*
7_746:                 196         48#         19*
7_747:                   1          0#          1*
7_814:                 140         25#          3*
7_830:                   7          7#          0*
7_865:                   0          2#          0*
7_904:                   2         11#          1*
7_909:                   7          2#          1*
7_910:                   2          4#          0*
